refdes,pin,function,net,connects_to
U1,PA0,ADC1_INP16,SCALED_VDD_3V3_SENSORS1,R-divider on VDD_3V3_SENSORS1
U1,PA1,ETH_REF_CLK,ETH_REF_CLK,X2-3
U1,PA2,ETH_MDIO,ETH_MDIO,X2-2
U1,PA3,USART2_RX,USART2_RX_TELEM3,X1-42
U1,PA4,ADC12_INP18,SCALED_VDD_3V3_SENSORS2,R-divider on VDD_3V3_SENSORS2
U1,PA5,SPI1_SCK,SPI1_SCK_SENSOR1,U_IMU3 ICM-20649 SCLK
U1,PA6,SPI6_MISO,SPI6_MISO_EXTERNAL1,X2-31
U1,PA7,ETH_CRS_DV,ETH_CRS_DV,X2-7
U1,PA8,I2C3_SCL,I2C3_SCL_BASE,X1-10
U1,PA9,OTG_FS_VBUS,VBUS_SENSE,X1-80
U1,PA10,GPIO in (EXTI),SPI2_DRDY2_IMU2_INT2,J3-31
U1,PA11,OTG_FS_DM,USB_D_N,X1-78
U1,PA12,OTG_FS_DP,USB_D_P,X1-76
U1,PA13,SWDIO,FMU_SWDIO,X1-75
U1,PA14,SWCLK,FMU_SWCLK,X1-77
U1,PA15,GPIO out,SPI6_nCS2_EXTERNAL1,X2-43
U1,PB0,ADC12_INP9,SCALED_VDD_3V3_SENSORS3,R-divider on VDD_3V3_SENSORS3
U1,PB1,ADC12_INP5,SCALED_V5,R-divider on VDD_5V_IN
U1,PB2,SPI3_MOSI,SPI3_MOSI_SENSOR3,J3-14
U1,PB3,SPI6_SCK / SWO,SPI6_SCK_EXTERNAL1,X2-35
U1,PB4,SDMMC2_D3,SD_D3,J4 microSD DAT3
U1,PB5,SPI1_MOSI,SPI1_MOSI_SENSOR1,U_IMU3 ICM-20649 SDI
U1,PB6,USART1_TX,USART1_TX_GPS1,X1-36
U1,PB7,USART1_RX,USART1_RX_GPS1,X1-34
U1,PB8,I2C1_SCL,I2C1_SCL_BASE,X1-18
U1,PB9,I2C1_SDA,I2C1_SDA_BASE,X1-16
U1,PB10,GPIO out (TIM2_CH3),HEATER,J3-30
U1,PB11,ETH_TX_EN,ETH_TX_EN,X2-27
U1,PB12,FDCAN2_RX,CAN2_RX,X1-59
U1,PB13,FDCAN2_TX,CAN2_TX,X1-57
U1,PB14,SDMMC2_D0,SD_D0,J4 microSD DAT0
